PMP Field,Release field,Data type (Length),Calculation,Mandatory,Sample value
OrderChargeDetail[2].Extended.ChargeDesc,OriginalPayload.Order.OrderChargeDetail[2].Extended.ChargeDesc,String (200),Direct mapping from OrderChargeDetail[2].Extended.ChargeDesc OR null,No,null
OrderChargeDetail[2].Extended.CRCTaxAmount,OriginalPayload.Order.OrderChargeDetail[2].Extended.CRCTaxAmount,Number,Direct mapping from OrderChargeDetail[2].Extended.CRCTaxAmount OR null,No,null
OrderChargeDetail[2].Extended.TaxRate,OriginalPayload.Order.OrderChargeDetail[2].Extended.TaxRate,Number,Direct mapping from OrderChargeDetail[2].Extended.TaxRate OR null,No,null
OrderChargeDetail[2].Extended.MKPPromotionId,OriginalPayload.Order.OrderChargeDetail[2].Extended.MKPPromotionId,String (50),Direct mapping from OrderChargeDetail[2].Extended.MKPPromotionId OR null,No,null
OrderExtension1.Extended.IsPSConfirmed,OriginalPayload.Order.OrderExtension1.Extended.IsPSConfirmed,Boolean,Direct mapping from OrderExtension1.Extended.IsPSConfirmed,Yes,true
OrderExtension1.Extended.CancelAllowed,OriginalPayload.Order.OrderExtension1.Extended.CancelAllowed,Boolean,Direct mapping from OrderExtension1.Extended.CancelAllowed,No,true
OrderExtension1.Extended.FullTaxInvoice,OriginalPayload.Order.OrderExtension1.Extended.FullTaxInvoice,Boolean,Direct mapping from OrderExtension1.Extended.FullTaxInvoice,No,false
,OriginalPayload.Order.OrderExtension1.Extended.SourceOrderShippingTotal,Number,Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.AutoSettlement,Boolean,Default: null,No,null
OrderExtension1.Extended.TaxId,OriginalPayload.Order.OrderExtension1.Extended.TaxId,String (50),Direct mapping from OrderExtension1.Extended.TaxId OR empty string,No,""
,OriginalPayload.Order.OrderExtension1.Extended.SourceOrderTotal,Number,Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.T1ConversionRate,Number,Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.Extended1,String,Default: null,No,null
OrderExtension1.Extended.AllowSubstitution,OriginalPayload.Order.OrderExtension1.Extended.AllowSubstitution,Boolean,Direct mapping from OrderExtension1.Extended.AllowSubstitution,No,true
,OriginalPayload.Order.OrderExtension1.Extended.T1RedemptionPoint,Number,Default: null,No,null
OrderExtension1.Extended.CompanyName,OriginalPayload.Order.OrderExtension1.Extended.CompanyName,String (200),Direct mapping from OrderExtension1.Extended.CompanyName OR empty string,No,""
,OriginalPayload.Order.OrderExtension1.Extended.CustRef,String (100),Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.SourceOrderTotalDiscount,Number,Default: null,No,null
OrderExtension1.Extended.BranchNo,OriginalPayload.Order.OrderExtension1.Extended.BranchNo,String (50),Direct mapping from OrderExtension1.Extended.BranchNo OR empty string,No,""
OrderExtension1.Extended.ConfirmPaymentId,OriginalPayload.Order.OrderExtension1.Extended.ConfirmPaymentId,String (50),Direct mapping from OrderExtension1.Extended.ConfirmPaymentId,Yes,Cash On Delivery
,OriginalPayload.Order.OrderExtension1.Extended.T1Number,String (50),Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.T1PhoneNo,String (20),Default: null,No,null
,OriginalPayload.Order.OrderExtension1.Extended.SourceOrderSubTotal,Number,Default: null,No,null
OrderExtension1.Extended.ExternalMPSellerId,OriginalPayload.Order.OrderExtension1.Extended.ExternalMPSellerId,String (50),Direct mapping from OrderExtension1.Extended.ExternalMPSellerId,No,null
DocType.DocTypeId,OriginalPayload.DocTypeId,String (50),Direct mapping from DocType.DocTypeId,Yes,CustomerOrder
,OriginalPayload.CreatedBy,String (50),Default: 'pubsubuser@pmp',Yes,pubsubuser@pmp
OrderLine[],OriginalPayload.OrderTotalDiscounts,Number,SUM(OrderLine[].Quantity * (OrderLine[].OriginalUnitPrice - OrderLine[].UnitPrice)) * -1,Yes,-0.08
,OriginalPayload.Priority,Number,Default: null,No,null
,OriginalPayload.IsCancelled,Boolean,Default: false,Yes,false
,OriginalPayload.IsPublished,Boolean,Default: null,No,null
OrderNote[],OriginalPayload.HasNotes,Boolean,IF(COUNT(OrderNote[]) > 0 AND ANY(OrderNote[].NoteText != '')) THEN true ELSE false,No,true
OrderId,OriginalPayload.ReleaseId,String (50),CONCAT(OrderId + '1'),Yes,403521240-C7LDVZNUTGAHMA1
CustomerId,OriginalPayload.CustomerId,String (50),Direct mapping from CustomerId,No,null
OrderLine[0].ShipToAddress.Address.City,OriginalPayload.City,String (100),Extract from first OrderLine[].ShipToAddress.Address.City,Yes,-
OrderId,OriginalPayload.OrderId,String (50),Direct mapping from OrderId,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.AVSReasonId,String (50),Default: null,No,null
CustomerTypeId,OriginalPayload.CustomerType,String (50),Direct mapping from CustomerTypeId OR empty string,No,""
,OriginalPayload.IsTaxExempt,Boolean,Default: false,No,false
,OriginalPayload.AddressName,String (100),Default: null,No,null
OrderChargeDetail[0],OriginalPayload.ChargeDetail[0].IsProrated,Boolean,Default: true,No,true
OrderChargeDetail[0].IsInformational,OriginalPayload.ChargeDetail[0].IsInformational,Boolean,Direct mapping from OrderChargeDetail[0].IsInformational,Yes,true
OrderTaxDetail[0].TaxCode,OriginalPayload.ChargeDetail[0].TaxCode,String (50),Direct mapping from OrderTaxDetail[0].TaxCode OR 'Shipping',No,Shipping
OrderChargeDetail[0].ChargeTotal,OriginalPayload.ChargeDetail[0].ChargeTotal,Number,Direct mapping from OrderChargeDetail[0].ChargeTotal,Yes,16
,OriginalPayload.ChargeDetail[0].ChargeSubTypeId,String (50),Default: null,No,null
OrderChargeDetail[0].ChargeDisplayName,OriginalPayload.ChargeDetail[0].ChargeDisplayName,String (100),Direct mapping from OrderChargeDetail[0].ChargeDisplayName,Yes,Free
,OriginalPayload.ChargeDetail[0].Extended,Object,Default: null,No,null
OrderChargeDetail[0].ChargeDetailId,OriginalPayload.ChargeDetail[0].ChargeDetailId,String (50),Direct mapping from OrderChargeDetail[0].ChargeDetailId,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.ChargeDetail[0].RelatedChargeType,String (50),Default: null,No,null
OrderChargeDetail[0].ChargeType.ChargeTypeId,OriginalPayload.ChargeDetail[0].ChargeTypeId,String (50),Direct mapping from OrderChargeDetail[0].ChargeType.ChargeTypeId,Yes,Shipping
,OriginalPayload.ChargeDetail[0].RelatedChargeDetailId,String (50),Default: null,No,null
OrderChargeDetail[1],OriginalPayload.ChargeDetail[1].IsProrated,Boolean,Default: true,No,true
OrderChargeDetail[1].IsInformational,OriginalPayload.ChargeDetail[1].IsInformational,Boolean,Direct mapping from OrderChargeDetail[1].IsInformational,Yes,true
,OriginalPayload.ChargeDetail[1].TaxCode,String (50),Default: 'Shipping',No,Shipping
OrderChargeDetail[1].ChargeTotal,OriginalPayload.ChargeDetail[1].ChargeTotal,Number,Direct mapping from OrderChargeDetail[1].ChargeTotal,Yes,0
,OriginalPayload.ChargeDetail[1].ChargeSubTypeId,String (50),Default: null,No,null
OrderChargeDetail[1].ChargeDisplayName,OriginalPayload.ChargeDetail[1].ChargeDisplayName,String (100),Direct mapping from OrderChargeDetail[1].ChargeDisplayName,Yes,Shipping Fee Discount
,OriginalPayload.ChargeDetail[1].Extended,Object,Default: null,No,null
OrderChargeDetail[1].ChargeDetailId,OriginalPayload.ChargeDetail[1].ChargeDetailId,String (50),Direct mapping from OrderChargeDetail[1].ChargeDetailId,Yes,403521240-C7LDVZNUTGAHMA-ShippingFeeDiscount
,OriginalPayload.ChargeDetail[1].RelatedChargeType,String (50),Default: null,No,null
OrderChargeDetail[1].ChargeType.ChargeTypeId,OriginalPayload.ChargeDetail[1].ChargeTypeId,String (50),Direct mapping from OrderChargeDetail[1].ChargeType.ChargeTypeId,Yes,Shipping
,OriginalPayload.ChargeDetail[1].RelatedChargeDetailId,String (50),Default: null,No,null
OrderChargeDetail[2],OriginalPayload.ChargeDetail[2].IsProrated,Boolean,Default: true,No,true
OrderChargeDetail[2].IsInformational,OriginalPayload.ChargeDetail[2].IsInformational,Boolean,Direct mapping from OrderChargeDetail[2].IsInformational,Yes,true
,OriginalPayload.ChargeDetail[2].TaxCode,String (50),Default: 'Discount',No,Discount
OrderChargeDetail[2].ChargeTotal,OriginalPayload.ChargeDetail[2].ChargeTotal,Number,Direct mapping from OrderChargeDetail[2].ChargeTotal,Yes,0
,OriginalPayload.ChargeDetail[2].ChargeSubTypeId,String (50),Default: null,No,null
OrderChargeDetail[2].ChargeDisplayName,OriginalPayload.ChargeDetail[2].ChargeDisplayName,String (100),Direct mapping from OrderChargeDetail[2].ChargeDisplayName,Yes,Discount Promotion
,OriginalPayload.ChargeDetail[2].Extended,Object,Default: null,No,null
OrderChargeDetail[2].ChargeDetailId,OriginalPayload.ChargeDetail[2].ChargeDetailId,String (50),Direct mapping from OrderChargeDetail[2].ChargeDetailId,Yes,403521240-C7LDVZNUTGAHMA-Discount
,OriginalPayload.ChargeDetail[2].RelatedChargeType,String (50),Default: null,No,null
OrderChargeDetail[2].ChargeType.ChargeTypeId,OriginalPayload.ChargeDetail[2].ChargeTypeId,String (50),Direct mapping from OrderChargeDetail[2].ChargeType.ChargeTypeId,Yes,Discount
,OriginalPayload.ChargeDetail[2].RelatedChargeDetailId,String (50),Default: null,No,null
OrderLine[0].ShipToAddress.Address.State,OriginalPayload.State,String (50),Extract from first OrderLine[].ShipToAddress.Address.State,Yes,-
,OriginalPayload.DestinationAction,String (50),Default: 'Delivery',Yes,Delivery
OrderNote[0].NoteId,OriginalPayload.Note[0].NoteId,String (50),Generate unique ID using timestamp + random,Yes,44400774762569095252
,OriginalPayload.Note[0].Description,String (200),Default: '0004 - Festival Remark',No,0004 - Festival Remark
OrderNote[0].NoteType.NoteTypeId,OriginalPayload.Note[0].NoteType.NoteTypeId,String (10),Direct mapping from OrderNote[0].NoteType.NoteTypeId,Yes,0004
,OriginalPayload.Note[0].DisplaySequence,Number,Default: null,No,null
OrderNote[0].NoteText,OriginalPayload.Note[0].NoteText,String (500),Direct mapping from OrderNote[0].NoteText,Yes,GM-202
OrderNote[0].NoteType.NoteTypeId,OriginalPayload.Note[0].NoteTypeId,String (10),Direct mapping from OrderNote[0].NoteType.NoteTypeId,Yes,0004
,OriginalPayload.Note[0].IsVisible,Boolean,Default: true,No,true
OrderNote[0].NoteCategory.NoteCategoryId,OriginalPayload.Note[0].NoteCategoryId,String (50),Direct mapping from OrderNote[0].NoteCategory.NoteCategoryId,Yes,CustomerCommunication
OrderNote[0].NoteCategory.NoteCategoryId,OriginalPayload.Note[0].NoteCategory.NoteCategoryId,String (50),Direct mapping from OrderNote[0].NoteCategory.NoteCategoryId,Yes,CustomerCommunication
,OriginalPayload.Note[0].NoteCode,String (50),Default: null,No,null
OrderLine[0].ShipToAddress.IsAddressVerified,OriginalPayload.IsAddressVerified,Boolean,Extract from first OrderLine[].ShipToAddress.IsAddressVerified,Yes,true
OrderLine[0].ShipToAddress.Address.Country,OriginalPayload.Country,String (2),Extract from first OrderLine[].ShipToAddress.Address.Country,Yes,TH
Payment[0].PaymentMethod[0].PaymentMethodId,OriginalPayload.PaymentMethod[0].PaymentMethodId,String (50),Direct mapping from Payment[0].PaymentMethod[0].PaymentMethodId,Yes,fcf8e04e-f409-408d-b103-233af73af95e
,OriginalPayload.PaymentMethod[0].CurrentAuthAmount,Number,Default: 0,Yes,0
,OriginalPayload.PaymentMethod[0].AlternateCurrencyAmount,Number,Default: null,No,null
Payment[0].PaymentMethod[0].CurrencyCode,OriginalPayload.PaymentMethod[0].CurrencyCode,String (3),Direct mapping from Payment[0].PaymentMethod[0].CurrencyCode,Yes,THB
Payment[0].PaymentMethod[0].BillingAddress.Address.Email,OriginalPayload.PaymentMethod[0].BillingAddress.Email,String (100),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.Email,No,undefined
,OriginalPayload.PaymentMethod[0].BillingAddress.BillingAddressId,String (50),Generate unique ID using timestamp + random,Yes,7543960028665647216
Payment[0].PaymentMethod[0].BillingAddress.Address.FirstName,OriginalPayload.PaymentMethod[0].BillingAddress.FirstName,String (100),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.FirstName,Yes,Grab Customer
Payment[0].PaymentMethod[0].BillingAddress.Address.Address2,OriginalPayload.PaymentMethod[0].BillingAddress.Address2,String (200),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.Address2,No,Grab Address2
Payment[0].PaymentMethod[0].BillingAddress.Address.Address3,OriginalPayload.PaymentMethod[0].BillingAddress.Address3,String (200),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.Address3,No,null
Payment[0].PaymentMethod[0].BillingAddress.Address.PostalCode,OriginalPayload.PaymentMethod[0].BillingAddress.PostalCode,String (20),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.PostalCode,Yes,99999
Payment[0].PaymentMethod[0].BillingAddress.Address.Address1,OriginalPayload.PaymentMethod[0].BillingAddress.Address1,String (200),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.Address1,Yes,Grab Address1
Payment[0].PaymentMethod[0].BillingAddress.Address.City,OriginalPayload.PaymentMethod[0].BillingAddress.City,String (100),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.City,Yes,-
Payment[0].PaymentMethod[0].BillingAddress.Address.County,OriginalPayload.PaymentMethod[0].BillingAddress.County,String (100),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.County,No,-
Payment[0].PaymentMethod[0].BillingAddress.Address.State,OriginalPayload.PaymentMethod[0].BillingAddress.State,String (50),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.State,Yes,-
Payment[0].PaymentMethod[0].BillingAddress.Address.Phone,OriginalPayload.PaymentMethod[0].BillingAddress.Phone,String (20),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.Phone,No,0101010122
Payment[0].PaymentMethod[0].BillingAddress.Address.LastName,OriginalPayload.PaymentMethod[0].BillingAddress.LastName,String (100),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.LastName,Yes,-
Payment[0].PaymentMethod[0].BillingAddress.Address.Country,OriginalPayload.PaymentMethod[0].BillingAddress.CountryCode,String (2),Direct mapping from Payment[0].PaymentMethod[0].BillingAddress.Address.Country,Yes,TH
,OriginalPayload.PaymentMethod[0].CardTypeId,String (50),Default: null,No,null
Payment[0].PaymentMethod[0].CurrentSettledAmount,OriginalPayload.PaymentMethod[0].CurrentSettleAmount,Number,Direct mapping from Payment[0].PaymentMethod[0].CurrentSettledAmount,Yes,157
,OriginalPayload.PaymentMethod[0].AccountDisplayNumber,String (50),Default: null,No,null
,OriginalPayload.PaymentMethod[0].RoutingDisplayNumber,String (50),Default: null,No,null
Payment[0].PaymentMethod[0].PaymentType.PaymentTypeId,OriginalPayload.PaymentMethod[0].PaymentTypeId,String (50),Direct mapping from Payment[0].PaymentMethod[0].PaymentType.PaymentTypeId,Yes,Cash On Delivery
,OriginalPayload.PaymentMethod[0].FrankedCheckQuantity,Number,Default: null,No,null
,OriginalPayload.PaymentMethod[0].BusinessName,String (100),Default: null,No,null
,OriginalPayload.PaymentMethod[0].EntryTypeId,String (50),Default: null,No,null
Payment[0].PaymentMethod[0].Amount,OriginalPayload.PaymentMethod[0].Amount,Number,Direct mapping from Payment[0].PaymentMethod[0].Amount,Yes,157
,OriginalPayload.PaymentMethod[0].CheckQuantity,Number,Default: null,No,null
,OriginalPayload.PaymentMethod[0].AlternateCurrencyCode,String (3),Default: null,No,null
Payment[0].PaymentMethod[0].GatewayId,OriginalPayload.PaymentMethod[0].GatewayId,String (50),Direct mapping from Payment[0].PaymentMethod[0].GatewayId OR null,No,null
,OriginalPayload.PaymentMethod[0].CheckNumber,String (50),Default: null,No,null
,OriginalPayload.PaymentMethod[0].OriginalAmount,Number,Default: null,No,null
Payment[0].PaymentMethod[0].IsSuspended,OriginalPayload.PaymentMethod[0].IsSuspended,Boolean,Direct mapping from Payment[0].PaymentMethod[0].IsSuspended,No,false
Payment[0].PaymentMethod[0].IsVoided,OriginalPayload.PaymentMethod[0].IsVoided,Boolean,Direct mapping from Payment[0].PaymentMethod[0].IsVoided,No,false
,OriginalPayload.PaymentMethod[0].ChargeSequence,Number,Default: null,No,null
,OriginalPayload.PaymentMethod[0].AccountTypeId,String (50),Default: null,No,null
,OriginalPayload.PaymentMethod[0].ConversionRate,Number,Default: null,No,null
,OriginalPayload.PaymentMethod[0].IsFranked,Boolean,Default: null,No,null
,OriginalPayload.PaymentMethod[0].ChangeAmount,Number,Default: null,No,null
,OriginalPayload.PaymentMethod[0].StatusId,String (50),Default: null,No,null
,OriginalPayload.PaymentMethod[0].CurrentRefundAmount,Number,Default: 0,Yes,0
,OriginalPayload.PaymentMethod[0].CurrentPreSettleAmount,Number,Default: null,No,null
OrderTaxDetail[],OriginalPayload.OrderTotalTaxes,Number,SUM(OrderTaxDetail[].TaxAmount),Yes,0
,OriginalPayload.HasAlerts,Boolean,Default: null,No,null
CustomerLastName,OriginalPayload.LastName,String (100),Direct mapping from CustomerLastName,Yes,-
,OriginalPayload.ReleaseExtendedFields,Object,Default: empty object {},No,{}
,OriginalPayload.TaxDetail,Array,Default: empty array [],No,[]
,OriginalPayload.IsReadyForTender,Boolean,Default: false,No,false
,OriginalPayload.ConfirmedDate,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:33.636
,OriginalPayload.OverageAllowed,Boolean,Default: false,No,false
,OriginalPayload.DeliveryMethodSubType,String (50),Default: null,No,null
,OriginalPayload.PickupExpiryDate,DateTime,Default: null,No,null
,OriginalPayload.CreateReleaseTimeStamp,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:34.287
,OriginalPayload.TaxExemptReasonId,String (50),Default: null,No,null
OrderLine[0].OrderLinePromisingInfo.ShipFromLocationId,OriginalPayload.ShipFromLocationId,String (50),Extract from first OrderLine[].OrderLinePromisingInfo.ShipFromLocationId,Yes,CFR528
,OriginalPayload.NoOfStoreSaleLines,Number,COUNT(OrderLine[] WHERE DeliveryMethod.DeliveryMethodId = 'StorePickup'),No,0
OrderLine[0].ShipToAddress.Address.PostalCode,OriginalPayload.PostalCode,String (20),Extract from first OrderLine[].ShipToAddress.Address.PostalCode,Yes,99999
OrgId,OriginalPayload.OrganizationId,String (10),Direct mapping from OrgId,Yes,CFR
,OriginalPayload.InvoiceId,String (50),Default: null,No,null
OrderLine[0].ShipToAddress.Address.County,OriginalPayload.County,String (100),Extract from first OrderLine[].ShipToAddress.Address.County,No,-
,OriginalPayload.IsPostVoided,Boolean,Default: null,No,null
AlternateOrderId,OriginalPayload.AlternateOrderId,String (50),Direct mapping from AlternateOrderId,Yes,403521240-C7LDVZNUTGAHMA
CustomerEmail,OriginalPayload.CustomerEmail,String (100),Direct mapping from CustomerEmail,No,undefined
OrderLine[0].ShipToAddress.Address.Phone,OriginalPayload.Phone,String (20),Extract from first OrderLine[].ShipToAddress.Address.Phone,No,0101010122
OrderType.OrderTypeId,OriginalPayload.OrderTypeId,String (50),Direct mapping from OrderType.OrderTypeId,Yes,MKP-HD-STD
,OriginalPayload.PaymentStatusId,String (10),Default: '5000.000',Yes,5000.000
,OriginalPayload.CustomerCommPref,String (50),Default: null,No,null
SellingChannel.SellingChannelId,OriginalPayload.SellingChannelId,String (50),Direct mapping from SellingChannel.SellingChannelId,Yes,Grab
,OriginalPayload.MinFulfillmentStatusId,String (10),Default: '3000',No,3000
,OriginalPayload.ReleaseType,String (50),Default: null,No,null
,OriginalPayload.CreateOrderTimeStamp,DateTime,Current system timestamp in format YYYY-MM-DDTHH:mm:ss.sss,Yes,2025-08-05T12:13:21.991
,OriginalPayload.ExternalOrganizationId,String (50),Default: null,No,null
,OriginalPayload.EffectiveRank,String (50),Default: 'Not Applicable',No,Not Applicable
,OriginalPayload.ShipToLocationId,String (50),Default: null,No,null
OrderLine[0].DeliveryMethod.DeliveryMethodId,OriginalPayload.DeliveryMethod,String (50),Extract from first OrderLine[].DeliveryMethod.DeliveryMethodId,Yes,ShipToAddress
OrderLine[],OriginalPayload.NoOfDeliveryLines,Number,COUNT(OrderLine[] WHERE DeliveryMethod.DeliveryMethodId = 'ShipToAddress'),Yes,3
CustomerFirstName,OriginalPayload.FirstName,String (100),Direct mapping from CustomerFirstName,Yes,Grab Customer
,OriginalPayload.ReleaseLine[0].CancelledQuantity,Number,Default: 0,No,0
,OriginalPayload.ReleaseLine[0].ServiceLevelCode,String (10),Default: null,No,null
,OriginalPayload.ReleaseLine[0].LineTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].OrderLineTotalCharges,Number,Default: 0,No,0
,OriginalPayload.ReleaseLine[0].FulfilledQuantity,Number,Default: 0,No,0
,OriginalPayload.ReleaseLine[0].IsReturnable,Boolean,Default: true,No,true
OrderLine[0].IsTaxIncluded,OriginalPayload.ReleaseLine[0].IsTaxIncluded,Boolean,Direct mapping from OrderLine[0].IsTaxIncluded,Yes,true
,OriginalPayload.ReleaseLine[0].IsHazmat,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].RefundPrice,Number,Default: null,No,null
,OriginalPayload.ReleaseLine[0].TaxOverrideValue,Number,Default: null,No,null
,OriginalPayload.ReleaseLine[0].MaxFulfillmentStatusId,String (10),Default: '3000',No,3000
,OriginalPayload.ReleaseLine[0].IsOnHold,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].ItemWebURL,String (500),Default: null,No,null
OrderLine[0].ItemId,OriginalPayload.ReleaseLine[0].ItemId,String (50),Direct mapping from OrderLine[0].ItemId,Yes,8853474090594
OrderLine[0].ShippingMethodId,OriginalPayload.ReleaseLine[0].ShippingMethodId,String (50),Direct mapping from OrderLine[0].ShippingMethodId,Yes,Standard Delivery
,OriginalPayload.ReleaseLine[0].SellingLocationId,String (50),Default: null,No,null
OrderLine[0].IsGift,OriginalPayload.ReleaseLine[0].IsGift,Boolean,Direct mapping from OrderLine[0].IsGift,No,false
,OriginalPayload.ReleaseLine[0].ParentOrderLineId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].TotalCharges,Number,Default: 0,No,0
,OriginalPayload.ReleaseLine[0].ParentOrderId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ItemStyle,String (50),Default: empty string '',No,""
,OriginalPayload.ReleaseLine[0].TaxExemptId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].Priority,Number,Default: null,No,null
OrderLine[0].OrderLineExtension1.Extended.BundleRefId,OriginalPayload.ReleaseLine[0].SmallImageURI,String (500),Lookup from product catalog using BundleRefId or ItemId,No,https://assets.tops.co.th/YINDEE-YindeeDrinkingWater600mlPack12-8853474090600-1?$JPEG$
OrderLine[0].DeliveryMethod.DeliveryMethodId,OriginalPayload.ReleaseLine[0].DeliveryMethodId,String (50),Direct mapping from OrderLine[0].DeliveryMethod.DeliveryMethodId,Yes,ShipToAddress
,OriginalPayload.ReleaseLine[0].IsDiscountable,Boolean,Default: true,No,true
,OriginalPayload.ReleaseLine[0].IsCancelled,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].TaxOverrideTypeId,String (50),Default: null,No,null
OrderLine[0].ItemId,OriginalPayload.ReleaseLine[0].ItemBrand,String (100),Lookup from product catalog using ItemId,No,YINDEE/ ยินดี
,OriginalPayload.ReleaseLine[0].IsPreOrder,Boolean,Default: false,No,false
OrderLine[0],OriginalPayload.ReleaseLine[0].OrderLineTotalDiscounts,Number,(OrderLine[0].OriginalUnitPrice - OrderLine[0].UnitPrice) * OrderLine[0].Quantity,No,0
,OriginalPayload.ReleaseLine[0].ParentOrderLineTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].IsTaxExempt,Boolean,Default: null,No,null
OrderLine[0].PromisedDeliveryDate,OriginalPayload.ReleaseLine[0].PromisedDeliveryDate,DateTime,Direct mapping from OrderLine[0].PromisedDeliveryDate OR null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].IsProrated,Boolean,Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].IsInformational,Boolean,Default: true,Yes,true
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].TaxCode,String (50),Default: 'Shipping',No,Shipping
OrderChargeDetail[0].ChargeTotal / OrderLine.length,OriginalPayload.ReleaseLine[0].ChargeDetail[0].ChargeTotal,Number,OrderChargeDetail[0].ChargeTotal / COUNT(OrderLine[]),Yes,3.97
OrderChargeDetail[0].ChargeDetailId,OriginalPayload.ReleaseLine[0].ChargeDetail[0].HeaderChargeDetailId,String (50),Reference to header charge: OrderChargeDetail[0].ChargeDetailId,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].ChargeSubTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].ChargeDisplayName,String (100),Default: 'Free',Yes,Free
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].Extended,Object,Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].ChargeDetailId,String (50),Generate unique ID using timestamp + random,Yes,44401353719052856805
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].RelatedChargeType,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].ChargeTypeId,String (50),Default: 'Shipping',Yes,Shipping
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].RelatedChargeDetailId,String (50),Default: null,No,null
OrderLine[0],OriginalPayload.ReleaseLine[0].OrderLineTotal,Number,(OrderLine[0].Quantity * OrderLine[0].UnitPrice) + prorated charges,Yes,39
,OriginalPayload.ReleaseLine[0].ItemSeason,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].PickupDetail,Array,Default: empty array [],No,[]
,OriginalPayload.ReleaseLine[0].ItemColorDescription,String (100),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ItemBarCode,String (50),Default: null,No,null
OrderLine[0].ItemId,OriginalPayload.ReleaseLine[0].ItemDescription,String (200),Lookup from product catalog using ItemId,Yes,Yindee Drinking Water 600ml.
,OriginalPayload.ReleaseLine[0].IsReturn,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].IsTaxOverridden,Boolean,Default: false,No,false
OrderLine[0],OriginalPayload.ReleaseLine[0].ReleaseLineTotal,Number,Same as OrderLineTotal,Yes,39
,OriginalPayload.ReleaseLine[0].CanShipToAddress,Boolean,Default: true,No,true
OrderLine[0].OrderLineExtension1,OriginalPayload.ReleaseLine[0].OrderLine.OrderLineExtension1,Object,Direct mapping from OrderLine[0].OrderLineExtension1,Yes,(complex object)
,OriginalPayload.ReleaseLine[0].OrderLine.FulfillmentDetail,Array,Default: empty array [],No,[]
OrderLine[0].ShipToAddress,OriginalPayload.ReleaseLine[0].OrderLine.ShipToAddress,Object,Direct mapping from OrderLine[0].ShipToAddress,Yes,(complex object)
OrderLine[0].Quantity,OriginalPayload.ReleaseLine[0].OrderLine.Allocation[0].SupplyDetailInfo[0].Quantity,Number,Direct mapping from OrderLine[0].Quantity,Yes,12
,OriginalPayload.ReleaseLine[0].OrderLine.Allocation[0].SupplyDetailInfo[0].SupplyTypeId,String (50),Default: 'On Hand Available',Yes,On Hand Available
OrderLine[0].OrderLineChargeDetail,OriginalPayload.ReleaseLine[0].OrderLine.OrderLineChargeDetail,Array,Map OrderLine[0].OrderLineChargeDetail array,Yes,(complex array)
