PMP Field,Release field,Data type (Length),Calculation,Mandatory,Sample value
OrderTaxDetail[0].TaxCode,OriginalPayload.ChargeDetail[0].TaxCode,String (50),Direct mapping,No,Shipping
OrderChargeDetail[0].ChargeTotal,OriginalPayload.ChargeDetail[0].ChargeTotal,Number,Direct mapping,Yes,16
,OriginalPayload.ChargeDetail[0].ChargeSubTypeId,String (50),Default: null,No,null
OrderChargeDetail[0].ChargeDisplayName,OriginalPayload.ChargeDetail[0].ChargeDisplayName,String (100),Direct mapping,Yes,Free
,OriginalPayload.ChargeDetail[0].Extended,Object,Default: null,No,null
OrderChargeDetail[0].ChargeDetailId,OriginalPayload.ChargeDetail[0].ChargeDetailId,String (50),Direct mapping,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.ChargeDetail[0].RelatedChargeType,String (50),Default: null,No,null
OrderChargeDetail[0].ChargeType.ChargeTypeId,OriginalPayload.ChargeDetail[0].ChargeTypeId,String (50),Direct mapping,Yes,Shipping
,OriginalPayload.ChargeDetail[0].RelatedChargeDetailId,String (50),Default: null,No,null
OrderChargeDetail[1].IsProrated,OriginalPayload.ChargeDetail[1].IsProrated,Boolean,Default: true,No,true
OrderChargeDetail[1].IsInformational,OriginalPayload.ChargeDetail[1].IsInformational,Boolean,Direct mapping,Yes,true
OrderTaxDetail[0].TaxCode,OriginalPayload.ChargeDetail[1].TaxCode,String (50),Default: 'Shipping',No,Shipping
OrderChargeDetail[1].ChargeTotal,OriginalPayload.ChargeDetail[1].ChargeTotal,Number,Direct mapping,Yes,0
,OriginalPayload.ChargeDetail[1].ChargeSubTypeId,String (50),Default: null,No,null
OrderChargeDetail[1].ChargeDisplayName,OriginalPayload.ChargeDetail[1].ChargeDisplayName,String (100),Direct mapping,Yes,Shipping Fee Discount
,OriginalPayload.ChargeDetail[1].Extended,Object,Default: null,No,null
OrderChargeDetail[1].ChargeDetailId,OriginalPayload.ChargeDetail[1].ChargeDetailId,String (50),Direct mapping,Yes,403521240-C7LDVZNUTGAHMA-ShippingFeeDiscount
,OriginalPayload.ChargeDetail[1].RelatedChargeType,String (50),Default: null,No,null
OrderChargeDetail[1].ChargeType.ChargeTypeId,OriginalPayload.ChargeDetail[1].ChargeTypeId,String (50),Direct mapping,Yes,Shipping
,OriginalPayload.ChargeDetail[1].RelatedChargeDetailId,String (50),Default: null,No,null
OrderChargeDetail[2].IsProrated,OriginalPayload.ChargeDetail[2].IsProrated,Boolean,Default: true,No,true
OrderChargeDetail[2].IsInformational,OriginalPayload.ChargeDetail[2].IsInformational,Boolean,Direct mapping,Yes,true
,OriginalPayload.ChargeDetail[2].TaxCode,String (50),Default: 'Discount',No,Discount
OrderChargeDetail[2].ChargeTotal,OriginalPayload.ChargeDetail[2].ChargeTotal,Number,Direct mapping,Yes,0
,OriginalPayload.ChargeDetail[2].ChargeSubTypeId,String (50),Default: null,No,null
OrderChargeDetail[2].ChargeDisplayName,OriginalPayload.ChargeDetail[2].ChargeDisplayName,String (100),Direct mapping,Yes,Discount Promotion
,OriginalPayload.ChargeDetail[2].Extended,Object,Default: null,No,null
OrderChargeDetail[2].ChargeDetailId,OriginalPayload.ChargeDetail[2].ChargeDetailId,String (50),Direct mapping,Yes,403521240-C7LDVZNUTGAHMA-Discount
,OriginalPayload.ChargeDetail[2].RelatedChargeType,String (50),Default: null,No,null
OrderChargeDetail[2].ChargeType.ChargeTypeId,OriginalPayload.ChargeDetail[2].ChargeTypeId,String (50),Direct mapping,Yes,Discount
,OriginalPayload.ChargeDetail[2].RelatedChargeDetailId,String (50),Default: null,No,null
OrderLine[].ShipToAddress.Address.State,OriginalPayload.State,String (50),From first order line,Yes,-
,OriginalPayload.DestinationAction,String (50),Default: 'Delivery',Yes,Delivery
OrderNote[0].NoteId,OriginalPayload.Note[0].NoteId,String (50),Direct mapping,Yes,44400774762569095252
,OriginalPayload.Note[0].Description,String (200),Default: '0004 - Festival Remark',No,0004 - Festival Remark
OrderNote[0].NoteType.NoteTypeId,OriginalPayload.Note[0].NoteType.NoteTypeId,String (10),Direct mapping,Yes,0004
,OriginalPayload.Note[0].DisplaySequence,Number,Default: null,No,null
OrderNote[0].NoteText,OriginalPayload.Note[0].NoteText,String (500),Direct mapping,Yes,GM-202
OrderNote[0].NoteType.NoteTypeId,OriginalPayload.Note[0].NoteTypeId,String (10),Direct mapping,Yes,0004
,OriginalPayload.Note[0].IsVisible,Boolean,Default: true,No,true
OrderNote[0].NoteCategory.NoteCategoryId,OriginalPayload.Note[0].NoteCategoryId,String (50),Direct mapping,Yes,CustomerCommunication
OrderNote[0].NoteCategory.NoteCategoryId,OriginalPayload.Note[0].NoteCategory.NoteCategoryId,String (50),Direct mapping,Yes,CustomerCommunication
,OriginalPayload.Note[0].NoteCode,String (50),Default: null,No,null
OrderLine[].ShipToAddress.IsAddressVerified,OriginalPayload.IsAddressVerified,Boolean,From first order line,Yes,true
OrderLine[].ShipToAddress.Address.Country,OriginalPayload.Country,String (2),From first order line,Yes,TH
Payment[].PaymentMethod[].PaymentMethodId,OriginalPayload.PaymentMethod[0].PaymentMethodId,String (50),Direct mapping,Yes,fcf8e04e-f409-408d-b103-233af73af95e
,OriginalPayload.PaymentMethod[0].CurrentAuthAmount,Number,Default: 0,Yes,0
,OriginalPayload.PaymentMethod[0].AlternateCurrencyAmount,Number,Default: null,No,null
Payment[].PaymentMethod[].CurrencyCode,OriginalPayload.PaymentMethod[0].CurrencyCode,String (3),Direct mapping,Yes,THB
Payment[].PaymentMethod[].BillingAddress.Address.Email,OriginalPayload.PaymentMethod[0].BillingAddress.Email,String (100),Direct mapping,No,undefined
,OriginalPayload.PaymentMethod[0].BillingAddress.BillingAddressId,String (50),Generated ID,Yes,7543960028665647216
Payment[].PaymentMethod[].BillingAddress.Address.FirstName,OriginalPayload.PaymentMethod[0].BillingAddress.FirstName,String (100),Direct mapping,Yes,Grab Customer
Payment[].PaymentMethod[].BillingAddress.Address.Address2,OriginalPayload.PaymentMethod[0].BillingAddress.Address2,String (200),Direct mapping,No,Grab Address2
Payment[].PaymentMethod[].BillingAddress.Address.Address3,OriginalPayload.PaymentMethod[0].BillingAddress.Address3,String (200),Direct mapping,No,null
Payment[].PaymentMethod[].BillingAddress.Address.PostalCode,OriginalPayload.PaymentMethod[0].BillingAddress.PostalCode,String (20),Direct mapping,Yes,99999
Payment[].PaymentMethod[].BillingAddress.Address.Address1,OriginalPayload.PaymentMethod[0].BillingAddress.Address1,String (200),Direct mapping,Yes,Grab Address1
Payment[].PaymentMethod[].BillingAddress.Address.City,OriginalPayload.PaymentMethod[0].BillingAddress.City,String (100),Direct mapping,Yes,-
Payment[].PaymentMethod[].BillingAddress.Address.County,OriginalPayload.PaymentMethod[0].BillingAddress.County,String (100),Direct mapping,No,-
Payment[].PaymentMethod[].BillingAddress.Address.State,OriginalPayload.PaymentMethod[0].BillingAddress.State,String (50),Direct mapping,Yes,-
Payment[].PaymentMethod[].BillingAddress.Address.Phone,OriginalPayload.PaymentMethod[0].BillingAddress.Phone,String (20),Direct mapping,No,0101010122
Payment[].PaymentMethod[].BillingAddress.Address.LastName,OriginalPayload.PaymentMethod[0].BillingAddress.LastName,String (100),Direct mapping,Yes,-
Payment[].PaymentMethod[].BillingAddress.Address.Country,OriginalPayload.PaymentMethod[0].BillingAddress.CountryCode,String (2),Direct mapping,Yes,TH
,OriginalPayload.PaymentMethod[0].CardTypeId,String (50),Default: null,No,null
Payment[].PaymentMethod[].CurrentSettledAmount,OriginalPayload.PaymentMethod[0].CurrentSettleAmount,Number,Direct mapping,Yes,157
,OriginalPayload.PaymentMethod[0].AccountDisplayNumber,String (50),Default: null,No,null
,OriginalPayload.PaymentMethod[0].RoutingDisplayNumber,String (50),Default: null,No,null
Payment[].PaymentMethod[].PaymentType.PaymentTypeId,OriginalPayload.PaymentMethod[0].PaymentTypeId,String (50),Direct mapping,Yes,Cash On Delivery
,OriginalPayload.PaymentMethod[0].FrankedCheckQuantity,Number,Default: null,No,null
,OriginalPayload.PaymentMethod[0].BusinessName,String (100),Default: null,No,null
,OriginalPayload.PaymentMethod[0].EntryTypeId,String (50),Default: null,No,null
Payment[].PaymentMethod[].Amount,OriginalPayload.PaymentMethod[0].Amount,Number,Direct mapping,Yes,157
,OriginalPayload.PaymentMethod[0].CheckQuantity,Number,Default: null,No,null
,OriginalPayload.PaymentMethod[0].AlternateCurrencyCode,String (3),Default: null,No,null
Payment[].PaymentMethod[].GatewayId,OriginalPayload.PaymentMethod[0].GatewayId,String (50),Direct mapping,No,null
,OriginalPayload.PaymentMethod[0].CheckNumber,String (50),Default: null,No,null
,OriginalPayload.PaymentMethod[0].OriginalAmount,Number,Default: null,No,null
Payment[].PaymentMethod[].IsSuspended,OriginalPayload.PaymentMethod[0].IsSuspended,Boolean,Direct mapping,No,false
Payment[].PaymentMethod[].IsVoided,OriginalPayload.PaymentMethod[0].IsVoided,Boolean,Direct mapping,No,false
,OriginalPayload.PaymentMethod[0].ChargeSequence,Number,Default: null,No,null
,OriginalPayload.PaymentMethod[0].AccountTypeId,String (50),Default: null,No,null
,OriginalPayload.PaymentMethod[0].ConversionRate,Number,Default: null,No,null
,OriginalPayload.PaymentMethod[0].IsFranked,Boolean,Default: null,No,null
,OriginalPayload.PaymentMethod[0].ChangeAmount,Number,Default: null,No,null
,OriginalPayload.PaymentMethod[0].StatusId,String (50),Default: null,No,null
,OriginalPayload.PaymentMethod[0].CurrentRefundAmount,Number,Default: 0,Yes,0
,OriginalPayload.PaymentMethod[0].CurrentPreSettleAmount,Number,Default: null,No,null
OrderTaxDetail[0].TaxAmount,OriginalPayload.OrderTotalTaxes,Number,Sum of tax amounts,Yes,0
,OriginalPayload.HasAlerts,Boolean,Default: null,No,null
CustomerLastName,OriginalPayload.LastName,String (100),Direct mapping,Yes,-
,OriginalPayload.ReleaseExtendedFields,Object,Empty object,No,{}
,OriginalPayload.TaxDetail,Array,Empty array,No,[]
,OriginalPayload.IsReadyForTender,Boolean,Default: false,No,false
,OriginalPayload.ConfirmedDate,DateTime,System generated,Yes,2025-08-05T12:13:33.636
,OriginalPayload.OverageAllowed,Boolean,Default: false,No,false
,OriginalPayload.DeliveryMethodSubType,String (50),Default: null,No,null
,OriginalPayload.PickupExpiryDate,DateTime,Default: null,No,null
,OriginalPayload.CreateReleaseTimeStamp,DateTime,System generated,Yes,2025-08-05T12:13:34.287
,OriginalPayload.TaxExemptReasonId,String (50),Default: null,No,null
OrderLine[].OrderLinePromisingInfo.ShipFromLocationId,OriginalPayload.ShipFromLocationId,String (50),From first order line,Yes,CFR528
Calculated,OriginalPayload.NoOfStoreSaleLines,Number,Count of store sale lines,No,0
OrderLine[].ShipToAddress.Address.PostalCode,OriginalPayload.PostalCode,String (20),From first order line,Yes,99999
OrgId,OriginalPayload.OrganizationId,String (10),Direct mapping,Yes,CFR
,OriginalPayload.InvoiceId,String (50),Default: null,No,null
OrderLine[].ShipToAddress.Address.County,OriginalPayload.County,String (100),From first order line,No,-
,OriginalPayload.IsPostVoided,Boolean,Default: null,No,null
AlternateOrderId,OriginalPayload.AlternateOrderId,String (50),Direct mapping,Yes,403521240-C7LDVZNUTGAHMA
CustomerEmail,OriginalPayload.CustomerEmail,String (100),Direct mapping,No,undefined
OrderLine[].ShipToAddress.Address.Phone,OriginalPayload.Phone,String (20),From first order line,No,0101010122
OrderType.OrderTypeId,OriginalPayload.OrderTypeId,String (50),Direct mapping,Yes,MKP-HD-STD
,OriginalPayload.PaymentStatusId,String (10),Default: '5000.000',Yes,5000.000
,OriginalPayload.CustomerCommPref,String (50),Default: null,No,null
SellingChannel.SellingChannelId,OriginalPayload.SellingChannelId,String (50),Direct mapping,Yes,Grab
,OriginalPayload.MinFulfillmentStatusId,String (10),Default: '3000',No,3000
,OriginalPayload.ReleaseType,String (50),Default: null,No,null
,OriginalPayload.CreateOrderTimeStamp,DateTime,System generated,Yes,2025-08-05T12:13:21.991
,OriginalPayload.ExternalOrganizationId,String (50),Default: null,No,null
,OriginalPayload.EffectiveRank,String (50),Default: 'Not Applicable',No,Not Applicable
,OriginalPayload.ShipToLocationId,String (50),Default: null,No,null
OrderLine[].DeliveryMethod.DeliveryMethodId,OriginalPayload.DeliveryMethod,String (50),From first order line,Yes,ShipToAddress
Calculated,OriginalPayload.NoOfDeliveryLines,Number,Count of delivery lines,Yes,3
CustomerFirstName,OriginalPayload.FirstName,String (100),Direct mapping,Yes,Grab Customer
,OriginalPayload.ReleaseLine[0].CancelledQuantity,Number,Default: 0,No,0
,OriginalPayload.ReleaseLine[0].ServiceLevelCode,String (10),Default: null,No,null
,OriginalPayload.ReleaseLine[0].LineTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].OrderLineTotalCharges,Number,Default: 0,No,0
,OriginalPayload.ReleaseLine[0].FulfilledQuantity,Number,Default: 0,No,0
,OriginalPayload.ReleaseLine[0].IsReturnable,Boolean,Default: true,No,true
OrderLine[0].IsTaxIncluded,OriginalPayload.ReleaseLine[0].IsTaxIncluded,Boolean,Direct mapping,Yes,true
,OriginalPayload.ReleaseLine[0].IsHazmat,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].RefundPrice,Number,Default: null,No,null
,OriginalPayload.ReleaseLine[0].TaxOverrideValue,Number,Default: null,No,null
,OriginalPayload.ReleaseLine[0].MaxFulfillmentStatusId,String (10),Default: '3000',No,3000
,OriginalPayload.ReleaseLine[0].IsOnHold,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].ItemWebURL,String (500),Default: null,No,null
OrderLine[0].ItemId,OriginalPayload.ReleaseLine[0].ItemId,String (50),Direct mapping,Yes,8853474090594
OrderLine[0].ShippingMethodId,OriginalPayload.ReleaseLine[0].ShippingMethodId,String (50),Direct mapping,Yes,Standard Delivery
,OriginalPayload.ReleaseLine[0].SellingLocationId,String (50),Default: null,No,null
OrderLine[0].IsGift,OriginalPayload.ReleaseLine[0].IsGift,Boolean,Direct mapping,No,false
,OriginalPayload.ReleaseLine[0].ParentOrderLineId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].TotalCharges,Number,Default: 0,No,0
,OriginalPayload.ReleaseLine[0].ParentOrderId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ItemStyle,String (50),Default: '',No,""
,OriginalPayload.ReleaseLine[0].TaxExemptId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].Priority,Number,Default: null,No,null
Generated,OriginalPayload.ReleaseLine[0].SmallImageURI,String (500),From product catalog,No,https://assets.tops.co.th/YINDEE-YindeeDrinkingWater600mlPack12-8853474090600-1?$JPEG$
OrderLine[0].DeliveryMethod.DeliveryMethodId,OriginalPayload.ReleaseLine[0].DeliveryMethodId,String (50),Direct mapping,Yes,ShipToAddress
,OriginalPayload.ReleaseLine[0].IsDiscountable,Boolean,Default: true,No,true
,OriginalPayload.ReleaseLine[0].IsCancelled,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].TaxOverrideTypeId,String (50),Default: null,No,null
Generated,OriginalPayload.ReleaseLine[0].ItemBrand,String (100),From product catalog,No,YINDEE/ ยินดี
,OriginalPayload.ReleaseLine[0].IsPreOrder,Boolean,Default: false,No,false
Calculated,OriginalPayload.ReleaseLine[0].OrderLineTotalDiscounts,Number,Sum of line discounts,No,0
,OriginalPayload.ReleaseLine[0].ParentOrderLineTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].IsTaxExempt,Boolean,Default: null,No,null
OrderLine[0].PromisedDeliveryDate,OriginalPayload.ReleaseLine[0].PromisedDeliveryDate,DateTime,Direct mapping,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].IsProrated,Boolean,Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].IsInformational,Boolean,Default: true,Yes,true
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].TaxCode,String (50),Default: 'Shipping',No,Shipping
Calculated,OriginalPayload.ReleaseLine[0].ChargeDetail[0].ChargeTotal,Number,Prorated charge,Yes,3.97
OrderChargeDetail[0].ChargeDetailId,OriginalPayload.ReleaseLine[0].ChargeDetail[0].HeaderChargeDetailId,String (50),Header charge reference,Yes,403521240-C7LDVZNUTGAHMA
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].ChargeSubTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].ChargeDisplayName,String (100),Default: 'Free',Yes,Free
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].Extended,Object,Default: null,No,null
Generated,OriginalPayload.ReleaseLine[0].ChargeDetail[0].ChargeDetailId,String (50),Generated ID,Yes,44401353719052856805
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].RelatedChargeType,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].ChargeTypeId,String (50),Default: 'Shipping',Yes,Shipping
,OriginalPayload.ReleaseLine[0].ChargeDetail[0].RelatedChargeDetailId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[1].IsProrated,Boolean,Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[1].IsInformational,Boolean,Default: true,Yes,true
,OriginalPayload.ReleaseLine[0].ChargeDetail[1].TaxCode,String (50),Default: 'Discount',No,Discount
,OriginalPayload.ReleaseLine[0].ChargeDetail[1].ChargeTotal,Number,Default: 0,Yes,0
OrderChargeDetail[2].ChargeDetailId,OriginalPayload.ReleaseLine[0].ChargeDetail[1].HeaderChargeDetailId,String (50),Header charge reference,Yes,403521240-C7LDVZNUTGAHMA-Discount
,OriginalPayload.ReleaseLine[0].ChargeDetail[1].ChargeSubTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[1].ChargeDisplayName,String (100),Default: 'Discount Promotion',Yes,Discount Promotion
,OriginalPayload.ReleaseLine[0].ChargeDetail[1].Extended,Object,Default: null,No,null
Generated,OriginalPayload.ReleaseLine[0].ChargeDetail[1].ChargeDetailId,String (50),Generated ID,Yes,44401361632027335776
,OriginalPayload.ReleaseLine[0].ChargeDetail[1].RelatedChargeType,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[1].ChargeTypeId,String (50),Default: 'Discount',Yes,Discount
,OriginalPayload.ReleaseLine[0].ChargeDetail[1].RelatedChargeDetailId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[2].IsProrated,Boolean,Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[2].IsInformational,Boolean,Default: true,Yes,true
,OriginalPayload.ReleaseLine[0].ChargeDetail[2].TaxCode,String (50),Default: 'Shipping',No,Shipping
,OriginalPayload.ReleaseLine[0].ChargeDetail[2].ChargeTotal,Number,Default: 0,Yes,0
OrderChargeDetail[1].ChargeDetailId,OriginalPayload.ReleaseLine[0].ChargeDetail[2].HeaderChargeDetailId,String (50),Header charge reference,Yes,403521240-C7LDVZNUTGAHMA-ShippingFeeDiscount
,OriginalPayload.ReleaseLine[0].ChargeDetail[2].ChargeSubTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[2].ChargeDisplayName,String (100),Default: 'Shipping Fee Discount',Yes,Shipping Fee Discount
,OriginalPayload.ReleaseLine[0].ChargeDetail[2].Extended,Object,Default: null,No,null
Generated,OriginalPayload.ReleaseLine[0].ChargeDetail[2].ChargeDetailId,String (50),Generated ID,Yes,44401366580252570501
,OriginalPayload.ReleaseLine[0].ChargeDetail[2].RelatedChargeType,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ChargeDetail[2].ChargeTypeId,String (50),Default: 'Shipping',Yes,Shipping
,OriginalPayload.ReleaseLine[0].ChargeDetail[2].RelatedChargeDetailId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].IsPerishable,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].LatestDeliveryDate,DateTime,Default: null,No,null
OrderLine[0].OrderLineNote[0].NoteId,OriginalPayload.ReleaseLine[0].Note[0].NoteId,String (50),Direct mapping,Yes,R02_403521240-C7LDVZNUTGAHMA
,OriginalPayload.ReleaseLine[0].Note[0].Description,String (200),Default: '0006 - Item Remark',No,0006 - Item Remark
OrderLine[0].OrderLineNote[0].NoteType.NoteTypeId,OriginalPayload.ReleaseLine[0].Note[0].NoteType.NoteTypeId,String (10),Direct mapping,Yes,0006
,OriginalPayload.ReleaseLine[0].Note[0].DisplaySequence,Number,Default: null,No,null
OrderLine[0].OrderLineNote[0].NoteText,OriginalPayload.ReleaseLine[0].Note[0].NoteText,String (500),Direct mapping,Yes,""
OrderLine[0].OrderLineNote[0].NoteType.NoteTypeId,OriginalPayload.ReleaseLine[0].Note[0].NoteTypeId,String (10),Direct mapping,Yes,0006
,OriginalPayload.ReleaseLine[0].Note[0].IsVisible,Boolean,Default: true,No,true
OrderLine[0].OrderLineNote[0].NoteCategory.NoteCategoryId,OriginalPayload.ReleaseLine[0].Note[0].NoteCategoryId,String (50),Direct mapping,Yes,CustomerCommunication
OrderLine[0].OrderLineNote[0].NoteCategory.NoteCategoryId,OriginalPayload.ReleaseLine[0].Note[0].NoteCategory.NoteCategoryId,String (50),Direct mapping,Yes,CustomerCommunication
,OriginalPayload.ReleaseLine[0].Note[0].NoteCode,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].StreetDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].GiftCardValue,Number,Default: null,No,null
,OriginalPayload.ReleaseLine[0].HazmatCode,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].IsPreSale,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].AlternateOrderLineId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].IsGiftWithPurchase,Boolean,Default: null,No,null
Generated,OriginalPayload.ReleaseLine[0].TaxDetail[0].TaxDetailId,String (50),Generated ID,Yes,43183e955e3019bf7f8c942e16b7b13
OrderLine[0].OrderLineTaxDetail[0].TaxTypeId,OriginalPayload.ReleaseLine[0].TaxDetail[0].TaxTypeId,String (10),Direct mapping,Yes,VAT
OrderLine[0].OrderLineTaxDetail[0].TaxableAmount,OriginalPayload.ReleaseLine[0].TaxDetail[0].TaxableAmount,Number,Direct mapping,Yes,36.44
,OriginalPayload.ReleaseLine[0].TaxDetail[0].TaxEngineId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].TaxDetail[0].JurisdictionTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].TaxDetail[0].TaxRequestTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].TaxDetail[0].Jurisdiction,String (100),Default: null,No,null
,OriginalPayload.ReleaseLine[0].TaxDetail[0].IsProrated,Boolean,Default: null,No,null
OrderLine[0].OrderLineTaxDetail[0].TaxAmount,OriginalPayload.ReleaseLine[0].TaxDetail[0].TaxAmount,Number,Direct mapping,Yes,2.55
,OriginalPayload.ReleaseLine[0].TaxDetail[0].HeaderTaxDetailId,String (50),Default: null,No,null
OrderLine[0].OrderLineTaxDetail[0].IsInformational,OriginalPayload.ReleaseLine[0].TaxDetail[0].IsInformational,Boolean,Direct mapping,Yes,true
OrderLine[0].OrderLineTaxDetail[0].TaxCode,OriginalPayload.ReleaseLine[0].TaxDetail[0].TaxCode,String (50),Direct mapping,No,null
,OriginalPayload.ReleaseLine[0].TaxDetail[0].TaxDate,DateTime,Default: null,No,null
OrderLine[0].OrderLineTaxDetail[0].TaxRate,OriginalPayload.ReleaseLine[0].TaxDetail[0].TaxRate,Number,Direct mapping,Yes,0.07
,OriginalPayload.ReleaseLine[0].DoNotShipBeforeDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].IsExchangeable,Boolean,Default: true,No,true
,OriginalPayload.ReleaseLine[0].LastPossibleDeliveryDate,DateTime,Default: null,No,null
Calculated,OriginalPayload.ReleaseLine[0].OrderLineTotal,Number,Quantity * UnitPrice + charges,Yes,39
,OriginalPayload.ReleaseLine[0].ItemSeason,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].PickupDetail,Array,Empty array,No,[]
,OriginalPayload.ReleaseLine[0].ItemColorDescription,String (100),Default: null,No,null
,OriginalPayload.ReleaseLine[0].ItemBarCode,String (50),Default: null,No,null
Generated,OriginalPayload.ReleaseLine[0].ItemDescription,String (200),From product catalog,Yes,Yindee Drinking Water 600ml.
,OriginalPayload.ReleaseLine[0].IsReturn,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].IsTaxOverridden,Boolean,Default: false,No,false
Calculated,OriginalPayload.ReleaseLine[0].ReleaseLineTotal,Number,OrderLineTotal,Yes,39
,OriginalPayload.ReleaseLine[0].CanShipToAddress,Boolean,Default: true,No,true
OrderLine[0].OrderLineExtension1,OriginalPayload.ReleaseLine[0].OrderLine.OrderLineExtension1,Object,Direct mapping,Yes,(complex object)
,OriginalPayload.ReleaseLine[0].OrderLine.FulfillmentDetail,Array,Empty array,No,[]
OrderLine[0].ShipToAddress,OriginalPayload.ReleaseLine[0].OrderLine.ShipToAddress,Object,Direct mapping,Yes,(complex object)
,OriginalPayload.ReleaseLine[0].OrderLine.Allocation[0].SupplyDetailInfo[0].Quantity,Number,Direct mapping,Yes,12
,OriginalPayload.ReleaseLine[0].OrderLine.Allocation[0].SupplyDetailInfo[0].SupplyTypeId,String (50),Default: 'On Hand Available',Yes,On Hand Available
,OriginalPayload.ReleaseLine[0].OrderLine.OrderLineChargeDetail,Array,Complex array mapping,Yes,(complex array)
OrderLine[0].ReleaseGroupId,OriginalPayload.ReleaseLine[0].OrderLine.ReleaseGroupId,String (50),Direct mapping,Yes,3-CZDEEY5AAA2BNT
Generated,OriginalPayload.ReleaseLine[0].OrderLine.ItemShortDescription,String (200),From product catalog,Yes,Yindee Drinking Water 600ml.
,OriginalPayload.ReleaseLine[0].OrderLineVASInstructions,Array,Empty array,No,[]
,OriginalPayload.ReleaseLine[0].IsPriceOverrIdden,Boolean,Default: false,No,false
,OriginalPayload.ReleaseLine[0].AllocationInfo.InventorySegmentId,String (50),Default: null,No,null
Generated,OriginalPayload.ReleaseLine[0].AllocationInfo.AllocationId,String (50),Generated ID,Yes,179291316818885974056
,OriginalPayload.ReleaseLine[0].AllocationInfo.PredictedShipDate,DateTime,Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.SubstitutionTypeId,String (50),Default: null,No,null
Calculated,OriginalPayload.ReleaseLine[0].AllocationInfo.EarliestDeliveryDate,DateTime,Calculated date,Yes,2025-08-05T12:38:00
,OriginalPayload.ReleaseLine[0].AllocationInfo.CountryOfOrigin,String (2),Default: null,No,null
Calculated,OriginalPayload.ReleaseLine[0].AllocationInfo.EarliestShipDate,DateTime,Calculated date,Yes,2025-08-05T12:38:00
,OriginalPayload.ReleaseLine[0].AllocationInfo.SubstitutionRatio,Number,Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.InventoryTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.SupplyDetailInfo,Array,Empty array,No,[]
,OriginalPayload.ReleaseLine[0].AllocationInfo.SupplyTypeId,String (50),Default: null,No,null
,OriginalPayload.ReleaseLine[0].AllocationInfo.ASNDetailId,String (50),Default: null,No,null
Calculated,OriginalPayload.ReleaseLine[0].AllocationInfo.HeuristicDeliveryDate,DateTime,Calculated date,Yes,2025-08-05T12:38:00
,OriginalPayload.ReleaseLine[0].AllocationInfo.ExtendedFields,Object,Empty object,No,{}
,OriginalPayload.ReleaseLine[0].AllocationInfo.PredictedDeliveryDate,DateTime,Default: null,No,null
